folio,rubrique,nom,statut_soc,objet,detail_objet,localisation,redevance
,In de vriheit van brucele ,Heinrec de Beckere,,de salden?,,"""bi den nuwe bosche""",1 denier et 1 chapon
,In de vriheit van brucele ,Wouter Heeneken,"""meester""",1 voervanghe van sire hofstat,,"""gheleghte buten der poerten""",ob
,In de vriheit van brucele ,Beatrijs Was,/,1 voerhoede ende overganghe van haren solder,,,ob
,In de vriheit van brucele ,Kateline Salvers ,/,1 voervanghe haere hofstat,,/,6 denier
,In de vriheit van brucele ,"""de selve Kateline""",/,"""van den selver ochte van de gheliker voerhoede""",,,6 denier
,In de vriheit van brucele ,Jans Wegher van Lenedale,timmermans daer van nuws,,,,9 denier
,In de vriheit van brucele ,"""de selve""",//,1 dele landen,,daer achter hare huis,6 denier
,In de vriheit van brucele ,Heinrec van der beken,?,goede ,,,
,In de vriheit van brucele ,Gheraert uten cokenen,?,van Jans Wruc goede,,,2 denier
,In de vriheit van brucele ,Gilijs Mine van tser Jans Kesers,?,goede,,,12 deniers
,In de vriheit van brucele ,Godevert van der vuren,"""her"" et ""de pape""","""van tser Jans Besers goede""",,"""te molenbeke van der capelrien weghen""",18 denier
,In de vriheit van brucele ,Jan van den papen van vlesenbeke,,,,,
,In de vriheit van brucele ,Peter Lanaert,der hertogi(n)nen wagheman,1 voervanghe van sire hofstat,,achter boven Tser Godevert van mons,ob
,In de vriheit van brucele ,Lambert van Wineghem,,,,,
,In de vriheit van brucele ,Jan de Coelnere van Jetterbeke,"""lakensnider""",1 mure die was Colijns Mesmaker achter sine huis,,,
,In de vriheit van brucele ,de meyere de Jode,de jode,1 voervanghe vore sire huis,,achter van sire hofstat,2 deniers
,In de vriheit van brucele ,Peter de trompenere,de trompenere,1 voerhoede van sire hofstat daer,,/,1 denier
,In de vriheit van brucele ,Heuwen de scriver,de scriver,1 voervanghe vore sire huis,,"""van achter sine huis""",ob
,In de vriheit van brucele ,Peter Was,?,1 voervanghe,,"""ane de poerte van Beatrijs Was weghen""",ob
f°2 r,In de vriheit van brucele ,Jan Barkadijn,?,1 obstalle,,buten coudenberch porte,1 denier
,In de vriheit van brucele ,Kateline van Dielbeke,?,/,,/,
,In de vriheit van brucele ,Magriete van Haren,"""Heinrex dochter van Haren""","""van goede""",,"""in strate ieghen Jans Bisscops""",15 denier et 1 chapon
,In de vriheit van brucele ,Vranke Reyners sone tsmeds van voerst,,,,/,
,In de vriheit van brucele ,Jan van den soldere (barré),?,sire venstren vore sire huis,,/,1 denier
,In de vriheit van brucele ,Heinrec van Bruseghem,?,"""van sire hofstat""",,"""gheleghen bi pelgherijms huse bi sente Jans""",1 denier
,In de vriheit van brucele ,Alijt van Aken,?,van goede,,"""op coudenberch bi steens""",/
,In de vriheit van brucele ,Alijt van Loven,?,"""van 1 dele van eere hofstat""",,"""onse vrouwe op den savel""",9 deniers
,In de vriheit van brucele ,Heinrec van Moerseke,?,1 voerhoede van sire hofstat,,"""buten coudenberch poerte""",1 denier
,In de vriheit van brucele ,Peter Torneel van lett(el) Edinghem,?,"/ ou ""van lett(el) ?",,?,/
,In de vriheit van brucele ,Gilijs de Monec ,"""de linen wever""?",1 voervanghe van sire hofstat,,"""buten coudenberch poerte""",1 denier
,In de vriheit van brucele ,Vrancke Reyners sone tsmeeds?,,1 voervanghe van sire hofstat,,"""bi coudenberch ieghen tser Jans Van Meldert over""",1 denier
,In de vriheit van brucele ,Machtlit Ridders(?),?,/,,/,/
,In de vriheit van brucele ,Aerd van Elsele,?,1 voervanghe,,"""in borghendal""",1 denier
,In de vriheit van brucele ,Jan de Conijn,"""jagher?""",1 voervanghe,,"""in borghendal""",3 deniers
,In de vriheit van brucele ,Matheus Lembaert, huvetter/taneur,voervanghe,,"""ieghen der arcken porte over""",1 denier
,In de vriheit van brucele ,Willem Dinghelse,?,/,,/,/
,In de vriheit van brucele ,Jan van Vianen,?,1 voervanghe,,"""op coudenberch ieghen tsmoutsken over""",1 denier
,In de vriheit van brucele ,"""Meester Adam""",meester,/,,/,/
,In de vriheit van brucele ,Jan van Os,famille du R.Brabant,1 voervanghe,,"""buten der coudenberch porten""",1 denier
,In de vriheit van brucele ,Jan Stene ,?,1 hofstat,,,1 denier tornoy (?)
,In de vriheit van brucele ,Symoen de smed van Steenken,?,1 obstalle,,,3 deniers
,In de vriheit van brucele ,Wouter Lancboeter,?,1 voervanghe,,"""bi der arken ane de fonteyne""",1 denier
,In de vriheit van brucele ,Jan van der Poerten,?,1 voervanghe ,,"""jeghen der arken poerten""",3 deniers
,In de vriheit van brucele ,"""die van Sente Loy""",?,1 voervanghe (van 1 goede),,"""op den Jodentspoel""",3 deniers
,Sente Dyonnijs tseis op Coudenberch ,Heinrec de Marscale (barré),?,eere hofstat,,"""bi tserthoghen houc""",1 denier
,Sente Dyonnijs tseis op Coudenberch ,Willem Umesse,?,1 voervanghe (der voergheserder hofst),,"""op zine camme in broecht""",2 denier
,Sente Dyonnijs tseis op Coudenberch ,Jans wijf uten coushuse (Magriete uten coushuse),?,haere hofstat,,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,"""de selve""",?,1 voervanghe (van der selver hofstat),,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,Jan van Parijs,vedermaker,eere hofstat,,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,De huisarme van sente goedelen,/,/,,/,/
,Sente Dyonnijs tseis op Coudenberch ,Jan de tot tserghen van Brabant,?,1 voervanghe (van sire hofstat),,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,Jan van Meldert,"""her""",1 voervanghe,,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,Jan Stoer (barré?),meester,steens goede,,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,"""de selve"" (Stoer ou Hembraghen?)",//,"""daer van nuws""",,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,""" de selve""",//,eere hofstat,,"""daer woende Dancel Cassart""",ob
,Sente Dyonnijs tseis op Coudenberch ,"""noch""",//,1 voervanghe,,buten coudenberch jeghen over tsertoghen poerte daerin de wijngaert gheet,3 denier
f°2v,Sente Dyonnijs tseis op Coudenberch ,Herman van der Vuren,her,goede van II hofstaten?,,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,?,?,?,,?,?
,Sente Dyonnijs tseis op Coudenberch ,Heinrec Langherbout,?,eere hofstat,,"""op den jodenspoel""",ob
,Sente Dyonnijs tseis op Coudenberch ,Ridert Hussetot,"""tsertoghen cnape""",eere hofstat,,/,ob
,Sente Dyonnijs tseis op Coudenberch ,Jan Snellaert,?,sire hofstat,,in bleickerie in de vleeschouw strate,1 denier
,Sente Dyonnijs tseis op Coudenberch ,Lijsbet (wouter?) truffins/trusfins,"""magrieten dochter""",eere hofstat,,"""daer op den hoernot""",ob
,Sente Dyonnijs tseis op Coudenberch ,Aerd de Brochrgrave,"meester et ""tserthoghen canilinc""",eere hofstat,,/,ob
,Sente Dyonnijs tseis op Coudenberch ,Kateline van Zibbeke,?,1 dele van eere hofstat,,"""van den Wolhuse""",ob
,Sente Dyonnijs tseis op Coudenberch ,H/Kerstine van Sibbeke,?,goede ,,/,Kerstine( ?) van sibbeke va(n) goede dat was : de huisarme van sent(e) goedelen
,Sente Dyonnijs tseis op Coudenberch ,Heinrec de Vinder,de vinder?,1 deele van 1 obstalle,,"""bi de nuwe cam(bam)e""",ob
,Sente Dyonnijs tseis op Coudenberch ,Claes van Hoesdeyne,"""de snider""",1 voerhoede,,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,Gheraerd van Vuule,?,eere hofstat,,"""op darcke daer hi op woent""?",ob
,Sente Dyonnijs tseis op Coudenberch ,Heinrec van Laen,?,1 voerhoede,,/,2 denier
,Sente Dyonnijs tseis op Coudenberch ,Willem van Dunenvoerde,Her,goede,,/,2 deniers
,Sente Dyonnijs tseis op Coudenberch ,wijf van Jan Lymeers,?,haere hofstat,,/,ob
,Sente Dyonnijs tseis op Coudenberch ,// (?),?,1 weghe,,"""bi de voerserde bofstat""",1 denier
,Sente Dyonnijs tseis op Coudenberch ,Aerd van Bogarden,?,eere hofstat,,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,Aerd van Bogarden,?,1 voervanghe,,"""in de Ridderstrate""",1 denier
,Sente Dyonnijs tseis op Coudenberch ,Jan van Sente Gorex,?,/,,/,/
,Sente Dyonnijs tseis op Coudenberch ,Godevert van Mons,Her,eere hofstat,,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,"// (""hi noch.."")",//,1 voervanghe,,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,L? van wineghem ?,?,1 voerhoede,,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,Godevert van Mons (?),Her,1 hoernocke vore de dore,,,1 denier
,Sente Dyonnijs tseis op Coudenberch ,Magriete van Watermale,?,trappen van haere kelder,,?,1 denier
,Sente Dyonnijs tseis op Coudenberch ,?,,,,,1 denier
,Sente Dyonnijs tseis op Coudenberch ,Jan van Sente Gorex,Her,?,,?,?
,Sente Dyonnijs tseis op Coudenberch ,Magriete van Mons,"""tser Jacobs dochter""",1 beemde,,"""te redelghem""",6 sous
,Sente Dyonnijs tseis op Coudenberch ,Kateline van Mons,"""tser Jacobs dochter""",eere hosftat,,/,ob
,Sente Dyonnijs tseis op Coudenberch ,Alard van Os,"Her, Rcv de Brabant",eere hosftat,,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,Alard van Os,//,1 voervanghe,,"""op de coperbeke tuschen dach ende naecht""",1 denier
,Sente Dyonnijs tseis op Coudenberch ,Arnt de Colenere,?,1 muere,,"""gheset in dinghelant strate onder der stat muer""",1 denier
,Sente Dyonnijs tseis op Coudenberch ,Jan Boergois,?,van goede ?,,?,?
,Sente Dyonnijs tseis op Coudenberch ,Gilijs & Jan (kindere) cordewanijrs,?,Goede,,?,1 denier
,Sente Dyonnijs tseis op Coudenberch ,"""si beide"" (la femme?)",?,1 voerhoede,,?,1 denier
,Sente Dyonnijs tseis op Coudenberch ,Coele,de cledenmaker,1 voervanghe,,"""in dinghlant strate jeghen tsertoghen muer ons""",?
f°3r,Sente Dyonnijs tseis op Coudenberch ,Magriete van Mekinghen,"""joffrouwe""",eere hofstat (?),,/,1 denier
,Sente Dyonnijs tseis op Coudenberch ,,",sijn broeder)",hofstad ,,"""op senne bi tsleus poerte""",5 sous
,Sente Dyonnijs tseis op Coudenberch ,Gheldolf (??) tserhuigs,/,1 voervanghe,,"""in dwarmoes broecht boven den quackel borre""",1 denier
,Sente Dyonnijs tseis op Coudenberch ,Gilijs van Belleghem,?,eere hofstat ,,"""in deycstrate""",ob
,Sente Dyonnijs tseis op Coudenberch ,Magriete tser huigs,?,2 1/2 te droetbeekvan1 beemdekene,,"""de laken?""","2,5 sous"
,Sente Dyonnijs tseis op Coudenberch ,//,?,1 dachwande lands,,/,6 denier
,Sente Dyonnijs tseis op Coudenberch ,Heinrec Langhe ore,?,goede,,"""tobbrucele""",18 denier
,Sente Dyonnijs tseis op Coudenberch ,Geldolf ou Ghisbert??? Tserhuigs,?,eere hofstat,,"""jeghen Vranx van pepinghem? Over""",ob
,Sente Dyonnijs tseis op Coudenberch ,Gheldolf (??) tserhuigs,//,molen,,"""tobbrucele""","2,5 sous (?)"
,Sente Dyonnijs tseis op Coudenberch ,Ghijsbert tserhugs,?,eere hofstat,,?,ob
,Sente Dyonnijs tseis op Coudenberch ,Gilijs Lauwereirs,de beckere,1 voerhoede,,"""tobbrucele""",ob 
,Sente Dyonnijs tseis op Coudenberch ,//,?,1 voerhoede,,"""der voerserder hofstat"" = obbrucele",ob
,Sente Dyonnijs tseis op Coudenberch ,Willem tserhuigs,?,1 weghe,,"""te elsele""",1 denier
,Sente Dyonnijs tseis op Coudenberch ,Heinrec Potten,steenbickelere,1 voervanghe,,"""bi dsammans hofstat""",6 deniers
,Sente Dyonnijs tseis op Coudenberch ,Peter de Timmerman,?,?,,?,?
,Sente Dyonnijs tseis op Coudenberch ,Jan van Tuichem,?,??goede van 1 voervanghe??,,/,6 denier
,Sente Dyonnijs tseis op Coudenberch ,Claes van Keent,?,?,,?,?
,Sente Dyonnijs tseis op Coudenberch ,Lisbet Nosinne,?,1 voervanghe ere hofstat,,achter hare huis,1 denier
,Sente Dyonnijs tseis op Coudenberch ,Gheraert uten kokenen,?,1 voervanghe,,"""bi cansterstene""",1 denier
,Sente Dyonnijs tseis op Coudenberch ,"""de selve Gheraert""",?,de selver hofstat,,//,1 denier
,Sente Dyonnijs tseis op Coudenberch ,Diderec van Watermale,?,weghensteden?van 1 voervanghe,,"""buten coudenberch poerte""",4 deniers
,Sente Dyonnijs tseis op Coudenberch ,//,?,1 obstalle,,"""vore sire huis bi der linden""",3 deniers
,Sente Dyonnijs tseis op Coudenberch ,Jammant de jaghere,/,/,,/,/
,Sente Dyonnijs tseis op Coudenberch ,Jan Dancels van Boutsvoert,?,1 voerhoede sire hofstat,,"""buten coudenberch poerte""",4 deniers
,Sente Dyonnijs tseis op Coudenberch ,//,?,1 voerhoede sire hofstat,,"""bi de molen te boutsvoert""",1 denier
,Sente Dyonnijs tseis op Coudenberch ,Aerd van bogarden,?,eere hofstat,,"""op senne bi tsleuspoerte""",5 deniers
,Sente Dyonnijs tseis op Coudenberch ,Aerd van bogarden,?,1 voervanghe ,,"""voren den Scuptoel van 1 cleine kelderkeuken""",1 denier
,Sente Dyonnijs tseis op Coudenberch ,Gilijs Mire,?,1 voervanghe sire hofstat,, buten coudenberch(..) jeghen tsertogen porte over daermen gheet ten wijngarde ,9 deniers
,Sente Dyonnijs tseis op Coudenberch ,Robijn van Stalle,?,1 hofstat,,"""op coudenberch""",1 denier
,Sente Dyonnijs tseis op Coudenberch ,Gilijs van Berlaer,?,1 voervanghe ane sine huis,,"""jeghen aerds uten nuwen cammen over""",2 deniers
,Sente Dyonnijs tseis op Coudenberch ,Ghys de sinistere,?,1 obstalle vore sijn huis,,"""bi elkens borne""",ob
,Sente Dyonnijs tseis op Coudenberch ,Ghys de sinistere,//,1 voervanghe vore sijn huis,,"""vore sijn huis ane de fonteyne bi der arken""","1, 5 denier"
,Sente Dyonnijs tseis op Coudenberch ,Heinrec Wijnman/Jan Motte?,?,1 voervanghe van sijn huis,,"""buten coudenberch ane de nuwe veste""",1 denier
,Sente Dyonnijs tseis op Coudenberch ,Jen ter Peters,?,1 voervanghe,,"""vore sijn huis""",2 deniers
,Sente Dyonnijs tseis op Coudenberch ,Ghet de Waghenkuecht,?,1 voervanghe,,"""vore sijn huis""",2 deniers
,Sente Dyonnijs tseis op Coudenberch ,Heinrec van Molenbe(r?)ghe,?,2 sittenen,,"""vore sijn huis achter smouts""",1 denier
f3v,Int Rusbroec ande op den Savel,"Heinrec ""tser deenkens""","""tser""",sire hofstat,,/,ob
,Int Rusbroec ande op den Savel,Heinrec Deenkens,tser,1 voervanghe, voervanghe est apparemment utilisé par Rebuk clutinc?,"""van de selver hofstat""",1 denier
,Int Rusbroec ande op den Savel,//,//,1/2 hofstat,,/,ob
,Int Rusbroec ande op den Savel,"""de selve"" ou Claes Colijn?",,goede,,"""steenvoert jeghen wouters tsleus kinder""",2 deniers
,Int Rusbroec ande op den Savel,Aerd Matten sone vos,?,eere hofstat,,"""int rusbroec""",1 denier
,Int Rusbroec ande op den Savel,Magriete van Boilisen,.,eere hofstat,,/,ob
,Int Rusbroec ande op den Savel,[Heinrec Smon/ucken],[?],[goede],,/,[ob]
,Int Rusbroec ande op den Savel,Thonijs Thonijs,afwisselere sone,?,,?,?
,Int Rusbroec ande op den Savel,Amelrec Coniers kinder,?,?,,"""in dorsendal""",2 chapons
,Int Rusbroec ande op den Savel,Florens Hollant,?,/,,/,/
,Int Rusbroec ande op den Savel,Jan van Cortenberghe,?,1 voerhoede van sine huis,,"""daer hi in woent""",1 denier
,Int Rusbroec ande op den Savel,Lijsbet van Masensele,"""Gilijs dochter""",eere hofstat,,/,12 denier et 1 chapon
,Int Rusbroec ande op den Savel,Wouters Pypenpoy,Her,1 deele sire hofstat,,"""alfe van den borne""",1 denier
,Int Rusbroec ande op den Savel,Floreus van Stalle,Her,eere beken,,"""te Stalle""",1 denier
,Int Rusbroec ande op den Savel,[floreus van stalle],[//],[1 weterscape],,"[""daer vore sine bosch]",[1 denier]
,Int Rusbroec ande op den Savel,Floreus van Stalle,//,1 deele van 1 obstalle van 1 conduce,,"""van der beken bi den vijver der selver beken""",2 deniers
,Int Rusbroec ande op den Savel,[Maes de Zueken],?,??goede dat…van 1 voervanghe??,Le nom de Maes de Zueken semble avoir été remplacée par Gilijs van Beyghem.,"""in de nuwe strate""",2 deniers
,Int Rusbroec ande op den Savel,Panwels Vranx,"""tser""",1 voervanghe sire hofstat,,"""op den savel bi Rullemakers""",3 deniers
,Int Rusbroec ande op den Savel,Jan den Rullemakere van Linckebeke,?,1 voervanghe sire hofstat,,"""op den savel""",9 denier
,Int Rusbroec ande op den Savel,//,?,1 ma/onden van 1 kelder,,"""jeghen dwater te werrenen"" ",1 denier
,Int Rusbroec ande op den Savel,Simoen Willems,"""Ywains sone""",1 voerhoede vore sinen hof,,"""bi den wech van den nuwe bosche""",2 deniers
,Int Rusbroec ande op den Savel,Heinrec/[Jan] van Cobbeghem,"""de timmerman""",1 voervanghe sire hosfat,,"""op de perde march""",1 denier
,Int Rusbroec ande op den Savel,"""de selve"" ",?,1 obstalle,,"""van de grade van sinen kelder""",1 denier
,Int Rusbroec ande op den Savel,Heilwijch Berthouts,"""joffrouwe""",eere hofstat,,"""bi rusbroec poerte daer woende corteken..?""",1 denier
,Int Rusbroec ande op den Savel,Heilwijch Berthouts,//,1 voerhoede der voerserder hofstat van nuws,,,4 deniers
,Int Rusbroec ande op den Savel,[Jan Vleminc] Peter des moyen],?,goede,,/,1 denier
,Int Rusbroec ande op den Savel,,,,,,
,Int Rusbroec ande op den Savel,Jan Farliant,?,1 voerhoede,,"""op den savel""",2 deniers
,Int Rusbroec ande op den Savel,[Jan van Aerecht],?,[graden van sinen kelder],,"[""bi den poele op den hoenec daermen te heinrec""]",3 deniers
,Int Rusbroec ande op den Savel,Jan de Vleminc,?,goede van 1 voerhoede 1 hofstat,,"""op den savel bi den poele""",1 denier
,Int Rusbroec ande op den Savel,Jan de Vleminc,?,1 voerhoed sire hofstat,,"""daer hi woent""",1 denier
,Int Rusbroec ande op den Savel,Claes de Droghe,?,1 voerhoed in thlaf beyde,,"""gheleghen neven inghel Monnart/meynarts""",2 deniers
,Int Rusbroec ande op den Savel,Heinrec Jakijns?,?,1 voerhoed sire hofstat,,"""boven heinrec keys""",2 deniers
,Int Rusbroec ande op den Savel,Lijsbet van Landersele,?,?,,?,?
,Int Rusbroec ande op den Savel,Jan Smout,?,1 voerhoede sire hofstat & 1 keldermonte,,/,1 denier
,Int Rusbroec ande op den Savel,Jan Smout,?,"""sine vader weg van goede van 1 dele van 1 hofstat""",,,ob
f°4 r,Int Rusbroec ande op den Savel,Jan van Mechele de Mersman,,,,,
,Int Rusbroec ande op den Savel,Colijn van Namen,"""de tennen broec majer""",1 voervanghe,,"""bi den alboeme""",2 deniers
,Int Rusbroec ande op den Savel,Jan de pape de joghen van ophem,?,1 voervanghe vore sine huis,,"""bi den alboeme""",2 deniers
,Int Rusbroec ande op den Savel,Daneel van Watermale,Her,1/2 hofstat,,"""uit Rusbroecht daer Willem Mennen dand heeft""",ob
,Int Rusbroec ande op den Savel,//,//,1 voerwanghe (sic) sire hofstat,,"""in Rusbroech""",1 denier
,Int Rusbroec ande op den Savel,Jan Peters van Boutsvoert,?,1 vorwanghe,,"""in Rusbroech""",1 denier
,Int Rusbroec ande op den Savel,Jan van Ysche,?,1 voervanghe,,"""in trusbroecht bove heinrec keys te savele werd""",1 denier
,Int Rusbroec ande op den Savel,Jan van Rans,?,1 voervanghe vore sijn huis,,"""op de stalen berch in de Waesstrate""",9 deniers
,Int Rusbroec ande op den Savel,Aussi Jan van Rans ?,?,1 sittenen ???,,"""in de nuwe strate""",ob
,Int Rusbroec ande op den Savel,Jan van Loe,?,1 voervanghe,,op den savel ane de hameyde daer men gheet ten nuwe bosche    3 denier,
,Int Rusbroec ande op den Savel,Jan Breynnart,?,1 voervanghe,,"""in de Waesstrate neven Jans? Rens?""",3 deniers
,Int Rusbroec ande op den Savel,Willem Tote,?,1 hofstat,,"""gheleghe in de honsgraecht neven heinrec???""",3 deniers
,Int Rusbroec ande op den Savel,Willem Tote,?,ere straten,,"neven de corren dries buten coudenberch (..) ""bi den nuwen bosche""",12 deniers
,Int Rusbroec ande op den Savel,Willem de goutsmet,?,1 muerkenen vore sijn huis om trappen the legghen ,,,1 denier
,Int Rusbroec ande op den Savel,Gilijs de Knupe/Knimpe?,?,stenen,,"""gheset vore sine muer op den savel""",1 denier
,Int Rusbroec ande op den Savel,Heinrec de zeghere,?,1 vorvanghe ,,"""achter sinen hofe boven den nuwen borre"" ",1 denier
,Int Rusbroec ande op den Savel,Jan van Berlaer,?,1  sittenen,,"""int rusbroech vore sine dore""",ob
f°4v,Int Rusbroec ande op den Savel,Willem van bordeel/bondeel,"""de jonghe""",1 vorvanghe ane sijn huis,,gheleghen boven der cappelen ane den nuwen borre neven Gilijs Mathijs goet,1 denier
,Int Rusbroec ande op den Savel,Amelric van Mekelanghe,?,1 sittenen ,,"""biden nuwen borre""",ob 
,Int Rusbroec ande op den Savel,Jan Penmebroec?,?,1 sittenen ,,"""vore sine dore biden nuwenborre""",ob 
f°4bis recto,Int Rusbroec ande op den Savel,Peter van Ouderghem,?,1 voervanghe sire hofstat,,/,1 denier
,Int Rusbroec ande op den Savel,Heinrec Langore,,goede van eenen voervanghe sire hofstat,,"""ins den wech van der peerdmarct achter fabians?""",1 denier
,Int Rusbroec ande op den Savel,Jans tser hugst,tser,goede van eere hofstat,,"""in de bleickerie""",1 denier
,Int Rusbroec ande op den Savel,//,//,"""ane sine muyr?""",,"""tophem""",1 denier
,Int Rusbroec ande op den Savel,//,//,eere hof stat (sic),,"""op de hoghestrate daer op woent Willem van Gremberghem""(de beckere)",  ob 
,Int Rusbroec ande op den Savel,Eggerec van Malre,"""de weven""",1 deele van 1 voerhoede sire hofstat,,/,3 deniers
,Int Rusbroec ande op den Savel,Jan van Bodeghe,?,/,,/,/
,Int Rusbroec ande op den Savel,Jan van Selcke,"""d? heet Vincke""",1 voervanghe sire hofstat,,"""op den hoernec daerin gheet ten nuwen kerchove werd""",3 deniers
,Int Rusbroec ande op den Savel,Jan de Stoten,"""de timmerman""","1 voervanghe sire hofstat op den Savel ieghen Jan Vinc over ten nuwen kerchove weerd""",,,3 deniers
,Int Rusbroec ande op den Savel,Willem Boelman,"""steenhouwer""",?,,?,?
,Int Rusbroec ande op den Savel,Gilijs van Beyghem,?,1 voervanghe sire hofstat,,"""op den savel hoernec ieghen Gosens Kenmers? over""",1 denier
,Int Rusbroec ande op den Savel,Jan van Mabeerd,"""de weven dem? fonteyne""",1 voervanghe? Sire hofstat,,"""op hoalftbuenden""",3 deniers
,Int Rusbroec ande op den Savel,Gilijs de coperscleghere?,coperscleghere,1 voervanghe vore sijn huis,,"""in de nuwe strate boven heinrec Keys""",2 deniers
,Int Rusbroec ande op den Savel,Jan van der Roest,"""de weven""",1 voervanghe vore sine huis,,"""boven Heinrec Keyswas""",1 denier
"Folio 4bis recto, L.13",In sente goedelen proechie en(de) daer omtrent ,Le fils d'Adaem Lambrecht van Hoenbeke,?,1 obstalle (provenant d'un goede de Lijsbette van Kerchove) et 1? borne,,devant sa maison,18 deniers
